Date,Price,Year,Month,Day,DayOfWeek,MA7,MA14,MA30,Lag1,Lag2,Lag3
2000-02-16,76.8,2000,2,16,2,66.72714285714285,72.41714285714285,72.33933333333333,76.58,76.22,53.21
2000-02-17,76.75,2000,2,17,3,68.00428571428571,72.11714285714287,72.28166666666667,76.8,76.58,76.22
2000-02-18,75.81,2000,2,18,4,70.26571428571428,71.765,72.414,76.75,76.8,76.58
2000-02-22,73.87,2000,2,22,1,72.74857142857142,71.265,72.452,75.81,76.75,76.8
2000-02-23,73.77,2000,2,23,2,75.6857142857143,70.91071428571429,72.656,73.87,75.81,76.75
2000-02-24,72.37,2000,2,24,3,75.13571428571429,70.38357142857143,73.07966666666667,73.77,73.87,75.81
2000-02-25,70.67,2000,2,25,4,74.29142857142857,70.14857142857143,73.56,72.37,73.77,73.87
2000-02-28,71.16,2000,2,28,0,73.48571428571428,70.10642857142857,74.16766666666666,70.67,72.37,73.77
2000-02-29,71.0,2000,2,29,1,72.66428571428571,70.33428571428571,74.88066666666667,71.16,70.67,72.37
2000-03-02,80.29,2000,3,2,3,73.30428571428571,71.785,74.74633333333333,71.0,71.16,70.67
2000-03-03,73.65,2000,3,3,4,73.27285714285713,73.01071428571429,74.51633333333332,80.29,71.0,71.16
2000-03-04,72.02,2000,3,4,5,73.02285714285715,74.35428571428572,74.21900000000001,73.65,80.29,71.0
2000-03-05,68.84,2000,3,5,6,72.51857142857143,73.82714285714285,73.77633333333333,72.02,73.65,80.29
2000-03-08,59.34,2000,3,8,2,70.9,72.5957142857143,73.081,68.84,72.02,73.65
2000-03-10,56.26,2000,3,10,4,68.77142857142857,71.12857142857142,72.312,59.34,68.84,72.02
2000-03-11,53.12,2000,3,11,5,66.21714285714286,69.44071428571428,71.421,56.26,59.34,68.84
2000-03-13,73.99,2000,3,13,0,65.31714285714285,69.31071428571428,71.225,53.12,56.26,59.34
2000-03-14,72.61,2000,3,14,1,65.16857142857143,69.2207142857143,70.94699999999999,73.99,53.12,56.26
2000-03-15,72.65,2000,3,15,2,65.25857142857143,69.14071428571428,70.67733333333334,72.61,73.99,53.12
2000-03-16,74.7,2000,3,16,3,66.0957142857143,69.30714285714286,70.47166666666666,72.65,72.61,73.99
2000-03-17,74.39,2000,3,17,4,68.24571428571429,69.57285714285715,70.327,74.7,72.65,72.61
2000-03-20,72.73,2000,3,20,0,70.59857142857143,69.685,70.093,74.39,74.7,72.65
2000-03-21,73.16,2000,3,21,1,73.46142857142857,69.83928571428571,70.06633333333335,72.73,74.39,74.7
2000-03-22,73.96,2000,3,22,2,73.45714285714287,69.38714285714286,70.14000000000001,73.16,72.73,74.39
2000-03-23,72.37,2000,3,23,3,73.42285714285715,69.2957142857143,70.29199999999999,73.96,73.16,72.73
2000-03-24,72.24,2000,3,24,4,73.36428571428571,69.31142857142858,70.70066666666666,72.37,73.96,73.16
2000-03-27,71.89,2000,3,27,0,72.96285714285715,69.52928571428572,71.214,72.24,72.37,73.96
2000-03-28,73.22,2000,3,28,1,72.7957142857143,70.52071428571428,71.88100000000001,71.89,72.24,72.37
2000-03-29,73.16,2000,3,29,2,72.85714285714286,71.72785714285715,71.779,73.22,71.89,72.24
2000-03-30,72.68,2000,3,30,3,72.78857142857143,73.125,71.64899999999999,73.16,73.22,71.89
2000-03-31,72.68,2000,3,31,4,72.60571428571428,73.03142857142858,71.51166666666668,72.68,73.16,73.22
